0.06993549   -0.10308093    2.87443328
0.08036506   -0.10676315   -0.29247519
0.07600277   -0.08833604   -0.25580078
0.08233852   -0.11508832   -0.28060152
0.09712106   -0.10261929   -0.25959096
0.08042824   -0.09922447   -0.26675313
0.10717341   -0.12728585   -0.27004173
0.10176790   -0.11200510   -0.26475717
0.77129899   -0.23549785   -0.16367660
0.64166698   -0.16388433   -1.73788704
0.49566695    0.41603810    0.66466523
0.44000999    0.38807242   -0.97990022
0.23070229    0.60878853    1.24242768
0.12626271    0.51218226   -0.28320544
0.13531529    0.48475142   -0.28663781
0.42501990    0.49693050    2.32102875
0.29452206    0.41020642    0.55909017
0.67888083    0.13147103    2.94265593
0.49880187    0.08981938    1.34285808
0.62563164   -0.41977908   -2.62751069
0.41640862   -0.37912699    2.23900322
0.43667560   -0.67477159   -2.05355381
0.37524864   -0.65331651   -1.94380318
0.30862742   -0.46000684    2.82102478
0.32334158   -0.63130921   -0.94299377
0.25808879   -0.50703440   -2.44292855
