XYZ Points Summary (22/04/2017 6:26am)
Project Name: C:\Users\jyun\Desktop\stick_photo\stick.aus
______________________________________________________________________________________________________

       Quick Summary
    Number of Points: 367
    Number of Images: 26

Sightings
                                 Point Coordinates                       Standard Errors                           #
               Label           X              Y              Z         SX        SY        SZ     RMS xy(µm)  Rays
          WONB27_B12       175.9411        83.4619        50.8797    0.0303    0.0291    0.0420   1.055        25
             WONB9_1       149.6530       -27.9692         7.5214    0.0346    0.0333    0.0507   0.552        21
               WONB9       144.7704       -39.1706         7.5439    0.0338    0.0329    0.0492   0.575        22
            WONB27_2       175.7656       105.0012        50.8647    0.0304    0.0292    0.0420   1.050        25
            WONB9_B1       141.6280       -31.1253         7.3276    0.0345    0.0333    0.0507   0.561        21
              WONB27       172.6059        97.0360        50.7321    0.0303    0.0292    0.0420   1.102        25
            WONB27_5       169.4299        89.0582        50.5833    0.0309    0.0298    0.0433   1.058        24
             WONB9_5       136.7423       -42.3248         7.1400    0.0344    0.0333    0.0506   0.620        21
           WONB27_B7       162.4936        84.0140        50.2535    0.0303    0.0291    0.0421   1.038        25
            WONB9_B4       133.6456       -34.2833         6.9255    0.0338    0.0329    0.0493   0.582        22
            WONB3_B4       206.0649       221.4044         7.9497    0.0331    0.0318    0.0504   0.832        22
            WONB27_1       167.7594       108.1758        50.8056    0.0316    0.0305    0.0434   1.045        23
           WONB27_B1       164.6128       100.1976        50.5879    0.0309    0.0299    0.0433   1.074        24
            WONB3_B1       202.0900       213.8336         7.5789    0.0335    0.0324    0.0522   0.929        21
             WONB3_1       198.1275       206.2167         7.0853    0.0358    0.0335    0.0571   0.946        19
             WONB3_5       198.4865       225.4406         7.4853    0.0329    0.0314    0.0492   0.864        23
            WONB3_B9       200.6608       233.7412         7.5429    0.0335    0.0321    0.0498   0.863        22
               WONB3       194.4828       217.8475         7.2169    0.0346    0.0329    0.0545   0.815        20
             WONB3_2       190.5047       210.2681         6.9124    0.0351    0.0336    0.0542   0.982        20
             WONB3_3       182.9330       214.2820         6.3973    0.0358    0.0335    0.0572   0.875        19
            WONB33_3       124.5986        37.3656         4.8257    0.0352    0.0328    0.0565   0.611        20
            WONB33_2       123.2862        45.8480         4.7380    0.0353    0.0329    0.0567   0.593        20
            WONB33_1       121.9084        54.3210         4.5227    0.0365    0.0347    0.0622   0.629        18
              WONB33       114.7928        44.4914         4.8279    0.0352    0.0329    0.0566   0.633        20
           WONB33_B1       113.4746        52.9865         4.6806    0.0365    0.0346    0.0622   0.650        18
          WONB33_B13       107.6753        34.6787         4.6031    0.0343    0.0322    0.0543   0.628        21
            WONB33_5       106.3713        43.1476         4.3727    0.0351    0.0329    0.0566   0.647        20
           WONB33_B8        97.8064        43.7513         3.5800    0.0350    0.0329    0.0567   0.679        20
           WONB20_B6        76.7066       178.2714        48.5784    0.0307    0.0298    0.0438   1.132        24
           WONB20_B1        69.4040       166.3114        48.6684    0.0301    0.0293    0.0426   1.091        25
            WONB20_1        63.9987       159.6489        48.2103    0.0300    0.0293    0.0427   1.065        25
            WONB20_5        68.1453       178.3846        48.4966    0.0300    0.0294    0.0427   1.110        25
              WONB20        62.7494       171.7116        48.5092    0.0306    0.0297    0.0439   1.094        24
          WONB20_B11        66.2818       186.7531        48.3199    0.0300    0.0294    0.0427   1.117        25
            WONB13_3         8.5668        -8.6115         0.0146    0.0345    0.0347    0.0540   1.132        20
            WONB20_2        57.3768       165.0818        48.0334    0.0300    0.0293    0.0428   1.076        25
            WONB13_2         8.6087         0.0159         0.0000    0.0329    0.0324    0.0490   1.179        23
