XYZ Points Summary (22/04/2017 6:26am)
Project Name: C:\Users\jyun\Desktop\stick_photo\stick.aus
______________________________________________________________________________________________________

       Quick Summary
    Number of Points: 367
    Number of Images: 26

Sightings
                                 Point Coordinates                       Standard Errors                           #
               Label           X              Y              Z         SX        SY        SZ     RMS xy(µm)  Rays
            WONB23_5       -22.1452      -152.2527        -0.0807    0.0488    0.0468    0.0696   1.184         9
          WONB23_B14       -20.4027      -160.6208         0.1369    0.0489    0.0454    0.0697   1.208         9
           WONB23_B1       -12.6343      -144.6575        -0.0755    0.0482    0.0452    0.0654   0.871        10
              WONB23       -13.6301      -153.2388         0.2656    0.0493    0.0458    0.0697   1.048         9
            WONB23_1        -4.0951      -145.7184        -0.2480    0.0505    0.0456    0.0686   0.834         9
            WONB23_2        -5.1447      -154.2162         0.1650    0.0482    0.0448    0.0654   1.019        10
            WONB23_3        -6.2595      -162.7843         0.3486    0.0533    0.0498    0.0733   1.048         8
           WONB26_B7       154.4634       418.5174         5.7290    0.0521    0.0490    0.0744   0.555         9
           WONB26_B1       159.5917       433.8946         6.6675    0.0677    0.0594    0.1072   0.593         5
            WONB26_1       164.1423       441.0860         6.5290    0.0623    0.0584    0.0943   0.737         6
            WONB26_5       162.2196       422.0150         6.3531    0.0596    0.0557    0.0933   0.900         7
              WONB26       166.7913       429.2712         6.8934    0.0572    0.0512    0.0818   0.963         7
          WONB26_B11       164.9954       413.9145         6.2446    0.0465    0.0437    0.0654   1.085        11
            WONB26_2       171.4282       436.4660         6.9451    0.0671    0.0590    0.1076   0.665         5
            WONB26_3       178.6352       431.8773         7.0866    0.0572    0.0511    0.0820   1.105         7
           WONB12_B5        94.2810      -171.0582         5.6118    0.0551    0.0514    0.0769   1.295         7
          WONB12_B10        95.3017      -184.5044         5.1032    0.0559    0.0485    0.0777   0.674         7
            WONB12_5       100.1670      -177.3135         5.7280    0.0526    0.0476    0.0708   1.320         8
           WONB12_B1       104.4806      -165.9636         6.4950    0.0543    0.0490    0.0744   1.265         7
              WONB12       107.9408      -173.8754         6.3989    0.0527    0.0477    0.0708   1.027         8
            WONB12_1       112.2570      -162.4709         6.5776    0.0567    0.0499    0.0778   0.614         7
            WONB12_2       115.8580      -170.3065         6.4847    0.0529    0.0479    0.0709   1.224         8
            WONB12_3       119.2842      -178.1643         6.4332    0.0527    0.0474    0.0709   1.083         8
           WONB17_B5       441.4261       341.6970        14.8311    0.0754    0.0707    0.1382   0.776         4
            WONB17_5       449.6313       339.0498        15.1824    0.0753    0.0705    0.1390   0.915         4
              WONB17       454.6694       345.9019        15.5333    0.0749    0.0704    0.1396   0.910         4
           WONB7_B13       234.5714      -204.4999         6.5496    0.0782    0.0847    0.0859   1.062         7
             WONB7_5       243.1354      -203.9097         6.0534    0.0787    0.0850    0.0862   0.827         7
             WONB7_3       235.8183      -221.6190         7.1757    0.0848    0.1092    0.1005   1.025         5
               WONB7       243.7662      -212.4014         6.4386    0.0799    0.1027    0.0940   0.787         6
            WONB7_B4       251.6756      -203.2894         5.8120    0.0791    0.0853    0.0865   0.715         7
             WONB7_2       244.4025      -220.9686         6.8912    0.0850    0.1094    0.1008   0.968         5
            WONB7_B1       252.3928      -211.6982         6.2343    0.0803    0.1029    0.0943   1.001         6
             WONB7_1       252.9903      -220.3008         6.5581    0.0852    0.1096    0.1010   0.972         5
            WONB6_B1      -238.7564       -52.4887        -5.3084    0.0691    0.0709    0.1218   0.416         4
               WONB6      -230.2388       -53.6286        -5.5714    0.0693    0.0712    0.1213   0.558         4
             WONB6_2      -229.0275       -45.0845        -5.6031    0.0696    0.0720    0.1215   0.723         4
             WONB6_3      -220.4820       -46.1516        -5.6966    0.0612    0.0667    0.1005   0.941         5
           WONB40_B1       235.4949       405.5727         8.3662    0.0521    0.0461    0.0710   0.763         9
            WONB40_1       239.2020       413.2769         8.3787    0.0541    0.0452    0.0721   1.172         9
            WONB40_5       239.5900       394.1396         8.3638    0.0493    0.0452    0.0699   0.787        10
              WONB40       243.2376       401.8589         8.4976    0.0522    0.0461    0.0752   1.009         9
            WONB40_2       247.0155       409.6057         8.5231    0.0508    0.0450    0.0673   1.209        10
          WONB40_B10       240.6086       385.6511         8.2856    0.0466    0.0431    0.0655   0.920        12
          WONB40_B13       247.2830       390.4146         8.7656    0.0495    0.0441    0.0699   1.053        11
            WONB40_3       254.6941       405.8737         9.0769    0.0545    0.0464    0.0722   1.052         9
           WONB29_B7       338.3702       366.8064        11.7912    0.0613    0.0555    0.0809   1.372         8
           WONB29_B1       346.6942       380.6708        12.2137    0.0664    0.0632    0.0827   0.976         7
            WONB29_1       352.6104       386.6924        11.9512    0.0811    0.0700    0.1009   0.554         5
            WONB29_5       346.6371       368.5618        12.0555    0.0687    0.0658    0.0902   0.485         6
              WONB29       352.7295       374.5552        12.2499    0.0611    0.0604    0.0825   1.048         8
            WONB29_2       358.7945       380.7503        12.0326    0.0678    0.0659    0.0908   0.912         6
          WONB29_B14       354.3782       364.8212        12.1403    0.0683    0.0658    0.0905   0.658         6
            WONB29_3       364.8898       374.6596        12.1843    0.0674    0.0658    0.0911   0.911         6
           WONB28_B7       305.2261      -171.6136         7.6537    0.0491    0.0511    0.0738   0.903        10
            WONB28_5       312.6799      -175.9017         8.1702    0.0492    0.0488    0.0729   1.120        10
           WONB28_B1       320.7772      -166.8152         8.3698    0.0503    0.0503    0.0693   0.975        10
          WONB28_B13       313.1917      -184.7513         8.1820    0.0613    0.0690    0.0843   0.593         8
              WONB28       321.2439      -175.4811         8.3815    0.0478    0.0481    0.0693   1.001        11
            WONB28_1       329.3414      -166.4288         8.2178    0.0477    0.0479    0.0694   1.065        11
            WONB28_2       329.9033      -175.2290         8.2139    0.0587    0.0606    0.0733   0.910        10
            WONB28_3       330.4119      -183.9502         8.2227    0.0586    0.0607    0.0733   1.245        10
            WONB24_3       -13.5171       460.9039         0.4552    0.0861    0.0757    0.1284   1.078         4
          WONB24_B15       -22.3974       453.8704         0.5967    0.0841    0.0718    0.1502   0.661         4
            WONB24_2       -19.0693       467.3857         0.4187    0.0850    0.0754    0.1285   1.310         4
              WONB24       -25.5045       461.8255         0.4426    0.0723    0.0710    0.1029   1.069         5
            WONB24_5       -32.0063       456.1817         0.0524    0.0696    0.0672    0.1135   1.045         5
           WONB24_B6       -40.4793       457.7278        -0.3331    0.0686    0.0669    0.1134   0.842         5
            WONB24_1       -24.7246       473.9320         0.1995    0.0839    0.0752    0.1287   1.528         4
           WONB24_B1       -31.3267       468.2263         0.4918    0.0803    0.0711    0.1195   0.990         4
                   2      -207.2973       243.3711        -4.2819    0.3697    0.3936    1.1201   1.558         4
                  23       203.1199        50.6819        50.7536    0.3355    0.3710    0.5317   2.466         6
                  44        40.7149       208.5352        45.4667    0.2051    0.2822    0.4301   3.400         7
                  45       232.1453       160.3389        50.8474    0.3213    0.3307    0.4749   2.848         7
                  46        41.5223       209.3669         2.0135    0.1793    0.1561    0.2764   1.151         5
                  47       234.0749       161.0538         6.8092    0.3045    0.2900    0.4523   4.994         9
                  48       212.6771       168.7012         5.9679    0.3351    0.2606    0.5553   3.471         5
                  52       206.9721        49.3701         6.6006    0.6588    0.3584    0.9581   1.064         5

                            X                   Y                   Z
     RMS is:              0.0727              0.0663              0.1239

 Minimum is:              0.0299              0.0291              0.0420
 at point:              WONB20_3          WONB27_B12          WONB27_B12

 Maximum is:              0.6588              0.3936              1.1201
 at point:                    52                   2                   2
